timestamp,username,action,points


2026-01-25 19:03:00,anjali519,Carbon Reduction,26
2026-01-25 19:03:10,anjali519,Carbon Reduction,16
2026-01-25 19:03:19,anjali519,Carbon Reduction,12
2026-01-25 19:05:02,anjali519,Carbon Reduction,26
2026-01-25 19:16:53,anjali519,Carbon Reduction,26
2026-01-25 19:23:17,anjali519,Composted Food (Banana),20
2026-01-25 19:23:45,anjali519,Composted Food (Banana),20
2026-01-25 19:24:07,anjali519,Composted Food (Banana),20
2026-01-25 19:24:34,anjali519,Composted Food (Banana),20
2026-01-25 19:24:51,anjali519,Composted Food (Banana),20
2026-01-25 19:30:35,anjali519,Composted Food (Banana),20
2026-01-25 19:33:09,anjali519,Waste Segregation Attempt,60
2026-01-26 15:12:40,anjali519,Waste Segregation Attempt,0
2026-01-26 15:27:02,anjali519,Eco-Runner Victory,48
2026-01-26 15:27:41,anjali519,Waste Segregation Attempt,0
2026-01-26 16:13:24,anjali519,Waste Segregation Attempt,0
2026-01-26 16:14:46,anjali519,Waste Segregation Attempt,10
2026-01-26 16:15:43,anjali519,Waste Segregation Attempt,10
2026-01-26 16:16:48,anjali519,Fire Rescue 3D Attempt,0
2026-01-26 16:17:15,anjali519,Fire Rescue 3D Attempt,0
2026-01-26 16:17:50,anjali519,Eco-Runner Victory,40
2026-01-26 16:19:01,anjali519,Waste Segregation Attempt,0
2026-01-26 18:47:35,adarsh445,Carbon Reduction,26
2026-01-26 18:47:45,adarsh445,Carbon Reduction,26
2026-01-26 18:47:57,adarsh445,KBC Win (Easy),5
2026-01-26 18:48:07,adarsh445,KBC Wrong (Medium),-2.5
2026-01-26 18:48:09,adarsh445,KBC Wrong (Medium),-2.5
2026-01-26 18:48:12,adarsh445,KBC Wrong (Medium),-2.5
2026-01-26 18:48:23,adarsh445,KBC Wrong (Medium),-2.5
2026-01-26 18:48:31,adarsh445,KBC Win (Hard),5
2026-01-26 18:48:44,adarsh445,KBC Win (Medium),5
2026-01-26 18:48:58,adarsh445,KBC Win (Medium),5
2026-01-26 18:49:05,adarsh445,KBC Win (Easy),5
2026-01-26 18:49:51,adarsh445,Walked to School (Verified),10
2026-01-26 18:51:26,adarsh445,Composted Food (Banana),20
2026-01-26 18:52:26,adarsh445,Saved Electricity (Verified),15
2026-01-26 18:55:28,adarsh445,Carbon Reduction,26
2026-01-26 18:55:37,adarsh445,Carbon Reduction,26
2026-01-26 18:55:39,adarsh445,Carbon Reduction,26
2026-01-26 18:55:43,adarsh445,Carbon Reduction,22
2026-01-26 18:55:50,adarsh445,Carbon Reduction,22
2026-01-26 18:55:54,adarsh445,Carbon Reduction,16
2026-01-26 18:55:59,adarsh445,Carbon Reduction,14
2026-01-26 18:56:04,adarsh445,Carbon Reduction,18
2026-01-26 18:56:24,adarsh445,Eco-Runner Victory,49
2026-01-26 18:57:15,adarsh445,Renewable Energy Victory,43
2026-01-26 18:58:51,adarsh445,Waste Segregation Attempt,40
2026-01-26 18:59:34,adarsh445,Fire Rescue 3D Attempt,20
2026-01-26 18:59:49,adarsh445,Carbon Reduction,18
2026-01-26 18:59:52,adarsh445,Carbon Reduction,18
2026-01-26 19:00:00,adarsh445,Carbon Reduction,26
